name,AtA1,AtA1_is,AtA1_geom,AtA1_rhoV,AtA1_rhoV_P,AtA1_rhoV_area,AtA1_bl,AtA1_rhoV_bl,AtA1_rhoV_P_bl,AtA1_rhoV_area_bl,AtD,oscosa,oscosa_bl,Yp,Yp_fr,dPo_Po,j_is,glob_inc,psi_stag,M_sh,Mt_area,s_max,dev,Pt_area,Pt_is,Pt_area_bl,dr,dH,TC,SC,PC,Ax2Ax1,A,M,M2,Axt,L,load_coef,taskId,label,cat_PC,cat_TC,cat_SC,cat_load_coef,cat_Ax2Ax1,cat_A
M95A60SC80TC5PC10_psi040A95,1.0158831449420946,1.012721081182314,1.0081070703296107,1.0086826145333807,1.0124775982080998,1.0194836367172209,1.0087520046818892,1.0087953646918644,1.0121307296578061,1.0193174036740904,0.9538093118472822,1.0350711559756223,1.0276554797331254,0.03547361246750422,-0.0008523111011356846,0,13,2.18679111376548,0.04015489884599788,1.0889165066322446,0.8949252331930744,0.39317989979129214,0,0.42753703487787437,0.44330276203534313,0.42738884801346005,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC10_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9809776624666163,0.04015489884599788,0.4,M95A60SC80TC5PC10_psi040A95,M95A60SC80TC5PC10_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC15_psi040A95,1.0182979983330227,1.0152306340813164,1.0104228285829442,1.011005179402184,1.0149455291519447,1.021731778215012,1.011034834877661,1.0110523719979556,1.01454377782276,1.0215345646390224,0.9610792861587419,1.0376009541521394,1.0301073931655036,0.03107248791645106,-0.00036631782668276533,-0.00011670218127687884,13,1.9999884324238764,0.2054613238252756,1.1110943682958456,0.8836319151580784,0.40362564230285136,0,0.4326837509232175,0.44724900899863756,0.4324883496173391,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC15_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9808907646783613,0.2054613238252756,0.4,M95A60SC80TC5PC15_psi040A95,M95A60SC80TC5PC15_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC20_psi040A95,1.0216712655250368,1.0183108446307505,1.0132898638844468,1.01430202267639,1.0175764440385788,1.0241869607043674,1.0138647674265173,1.013791820653634,1.0173838122118162,1.0241797667024966,0.9723584806312315,1.040769731832547,1.0330305342266421,0.029975194159820008,0.00018701560453813007,-0.00039568482059038724,13,1.7031325198578031,-0.42891228790125524,1.1352495727630643,0.8725225781765428,0.4230438622392583,0,0.4377184595825017,0.45236368982516645,0.4378013908030892,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC20_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9810859703419363,-0.42891228790125524,0.4,M95A60SC80TC5PC20_psi040A95,M95A60SC80TC5PC20_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC25_psi040A95,1.0256327092899222,1.0220511607175078,1.0169765029546147,1.017677820865528,1.0211554847287285,1.027575352880866,1.0175268827158674,1.0174348765772694,1.0211569306094406,1.0277137916937558,0.9829102265602594,1.0449370027242109,1.0367949346118166,0.029547125069757457,0.0009534402493742537,-0.0008140312008642599,13,1.4598599407117874,-0.7760803200348931,1.1533707166795515,0.8595867949046319,0.4227679132993279,0,0.44356657634280366,0.4581846058370952,0.44387139394976094,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC25_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9810804329065675,-0.7760803200348931,0.4,M95A60SC80TC5PC25_psi040A95,M95A60SC80TC5PC25_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC30_psi040A95,1.0293159682077795,1.0250076245390238,1.0207151867568922,1.0209590700351066,1.0246775916656825,1.0308931396827214,1.0211560242174857,1.0215994644092938,1.0256963044465244,1.0316619049059854,0.9906443285666492,1.048722122025126,1.0401759168385853,0.029132254901138938,0.0016799306102505025,-0.0011978259352869295,13,1.311528411133942,-0.71907923522717,1.164459181854969,0.8484953979928365,0.4150657974639018,0,0.4485664741442942,0.4630797250885739,0.44955159619214907,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC30_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9810269581397257,-0.71907923522717,0.4,M95A60SC80TC5PC30_psi040A95,M95A60SC80TC5PC30_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC35_psi040A95,1.0356728783825453,1.030195218354137,1.0263659121124025,1.0266142196749666,1.0305954786491531,1.036505460045455,1.026861098453256,1.0273645521960395,1.0317520166437941,1.037407976922308,0.9976089784887805,1.0553299061282602,1.0460394014208205,0.02895546792883134,0.0025455321587259105,-0.00171120992433216,13,1.28242192741304,0.8998099905636678,1.176931603204103,0.8311507189412118,0.4065931178447949,0,0.45647435796092095,0.4707786258927244,0.4575120515464872,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC35_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9809982102899613,0.8998099905636678,0.4,M95A60SC80TC5PC35_psi040A95,M95A60SC80TC5PC35_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC40_psi040A95,1.043625061200938,1.0370711825025196,1.032914597167713,1.0334897083408299,1.0377602682651417,1.0431079956937888,1.033339063103593,1.0337526536175135,1.038069745130556,1.043452539726331,1.0174159147757869,1.0631628605344414,1.0525746003333643,0.031112563570994275,0.0042933982249859885,-0.0028170526830356944,13,0.8683013357750724,-0.4551422669963756,1.2013134979642972,0.814396399773101,0.41250506925212826,0,0.4639131710978817,0.47941395984621243,0.46436956043173055,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC40_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9813219859576463,-0.4551422669963756,0.4,M95A60SC80TC5PC40_psi040A95,M95A60SC80TC5PC40_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC50_psi040A95,1.0500996878872926,1.040752542802752,1.0378019448067837,1.038237077460961,1.0429039859698241,1.0481291346447907,1.0382438732043862,1.0384909364901387,1.0432045125427294,1.0484891486573413,1.02996527708367,1.0698459887200682,1.057662560727106,0.032342239436955106,0.005931115865798323,-0.003825193455106489,13,0.6616246281834819,0.5320815251687634,1.220368225314609,0.8032491075814087,0.4008611008331765,0,0.46880464094884167,0.4857129592994987,0.46927028196410786,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC50_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9812221622871204,0.5320815251687634,0.4,M95A60SC80TC5PC50_psi040A95,M95A60SC80TC5PC50_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC55_psi040A95,1.0536744115897865,1.0424014743920276,1.039570994012448,1.039604922248813,1.0442529275593928,1.0495206595944246,1.0399793391652186,1.0399362765250177,1.0446637702036368,1.049981404343893,1.0455788382516276,1.0735112599263086,1.0594194664401728,0.03470515832146901,0.007437234003777927,-0.00478679099950849,13,0.26937857306061375,-0.811678432470444,1.2377145578620956,0.8014158980956214,0.4112556290961542,0,0.469356477020539,0.48897702575092666,0.46994076921107414,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC55_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.9812647652261677,-0.811678432470444,0.4,M95A60SC80TC5PC55_psi040A95,M95A60SC80TC5PC55_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
M95A60SC80TC5PC60_psi040A95,1.0615419203735479,1.0474501859034422,1.0450630526982152,1.045547543627691,1.0496858647204184,1.054776814461644,1.0454520820605977,1.045439281328854,1.0502919890757194,1.055395485462787,1.058269307036531,1.08157992599551,1.0649768934020012,0.037007812960242095,0.008848079701981086,-0.005693980197312207,13,0.11553883077743166,-0.09192930872660554,1.2499262478515092,0.7904893469911759,0.40418749104204293,0,0.4741473208795486,0.49596396039267515,0.4748734166979656,/mnt/Disk1/dl467/Documents/Test_Cases/MISES_solutions/M95A60SC80TC5PC60_psi040A95/MISES/,0.6650155123167135,0.04499999999999999,0.8009565270152262,0.8,0.95,50.45343281303288,0.95,0.6016103069202515,0.981489544640479,-0.09192930872660554,0.4,M95A60SC80TC5PC60_psi040A95,M95A60SC80TC5PC60_psi040A95,_0.8,_0.04499999999999999,_0.8009565270152262,_0.4,_0.95,_50.45343281303288
